Geneid	X1_1.bam	X1_2.bam	X1_3.bam	XX1_1.bam	XX1_2.bam	XX1_3.bam	XXX2_1.bam	XXX2_2.bam	XXX2_3.bam
MELO3C027330.2	338	159	194	0	1	0	0	4	0
MELO3C027329.2	0	5	0	4	1	0	0	0	0
MELO3C027331.2	44	27	44	27	40	44	72	44	177
MELO3C027565.2	0	0	0	0	0	0	0	0	0
MELO3C027558.2	0	0	0	0	0	0	0	0	0
MELO3C027559.2	0	0	0	0	0	0	0	0	0
MELO3C027333.2	0	0	0	0	0	0	0	0	0
MELO3C027561.2	0	0	0	0	0	0	0	0	0
MELO3C027866.2	0	3	6	4	11	6	0	0	0
MELO3C027332.2	3551	2428	3190	7692	10321	2336	11653	11667	15144
MELO3C027338.2	0	0	0	0	0	0	0	0	0
MELO3C027871.2	0	0	0	0	0	0	0	0	0
MELO3C027562.2	0	0	0	1	0	0	0	0	0
MELO3C027872.2	0	2	7	0	2	14	2	0	4
MELO3C027337.2	734	985	1230	2796	3168	693	1711	2081	1674
MELO3C027563.2	0	0	0	0	0	0	0	0	0
MELO3C027339.2	0	0	0	0	0	0	0	0	0
MELO3C027342.2	311	333	380	693	653	821	158	252	376
MELO3C027345.2	1117	1093	1257	1631	2099	970	2158	2247	2404
MELO3C027567.2	0	0	0	0	0	0	0	0	0
MELO3C027568.2	0	0	0	0	0	0	0	0	0
MELO3C027877.2	2	0	2	142	82	45	57	123	39
MELO3C027344.2	0	0	0	0	0	0	0	0	0
MELO3C027352.2	6	4	4	5	10	11	16	31	23
MELO3C027346.2	750	229	324	1399	1952	412	105	148	88
MELO3C027878.2	1	0	1	0	1	0	0	0	0
MELO3C027349.2	329	419	508	544	647	392	468	708	558
MELO3C027350.2	238	183	233	417	564	293	327	353	258
MELO3C027887.2	0	0	0	5	8	1	3	3	5
MELO3C027354.2	0	0	0	0	0	0	0	0	0
MELO3C027882.2	0	1	2	2	4	1	1	0	0
MELO3C027353.2	0	0	0	0	0	0	0	0	0
MELO3C027569.2	0	0	0	0	0	0	0	0	0
MELO3C027570.2	0	0	0	0	0	0	0	0	0
MELO3C027880.2	17	29	28	1	5	7	2	6	4
MELO3C027357.2	2	2	6	0	3	4	0	0	0
MELO3C027891.2	0	0	0	0	0	0	0	0	0
MELO3C027359.2	0	0	0	0	0	0	0	0	0
MELO3C027362.2	229	195	220	358	404	363	417	467	623
MELO3C027571.2	2	0	0	0	0	0	0	0	1
MELO3C027367.2	0	0	0	0	0	0	0	0	0
MELO3C027370.2	519	405	574	1809	3943	528	1651	2301	1053
MELO3C027371.2	76	77	79	73	147	84	194	116	193
MELO3C027372.2	0	0	0	0	0	0	0	0	0
MELO3C027373.2	175	181	248	284	284	251	418	301	541
MELO3C027899.2	0	0	0	0	0	0	0	0	0
MELO3C027378.2	25	2	40	65	88	40	53	120	90
MELO3C027374.2	0	0	0	0	0	0	0	0	1
MELO3C027375.2	1587	1534	2545	2310	2688	1407	4761	5384	4140
MELO3C027376.2	0	0	0	0	0	0	0	0	0
MELO3C027905.2	1	0	0	0	0	0	0	0	3
MELO3C027417.2	24	18	19	56	17	31	28	8	9
MELO3C027901.2	0	0	0	0	0	0	0	0	0
MELO3C027380.2	0	0	0	0	0	0	0	0	0
MELO3C027379.2	2277	2724	3861	3126	3961	2830	4183	4309	3730
MELO3C027383.2	0	0	0	0	0	0	0	0	0
MELO3C027384.2	10	4	0	2	0	0	0	6	14
MELO3C027914.2	59	34	56	89	149	52	304	188	338
MELO3C027385.2	516	407	559	439	506	536	401	363	781
MELO3C027912.2	0	0	0	6	37	11	7	25	1
MELO3C027913.2	40	43	32	54	99	55	47	92	37
